Stazione;gradi_lat;primi_lat;secondi_lat;gradi_lon;primi_lon;secondi_lon;quota;lon;lat
ACERNO                                      ;40;44;20;15;3;23.9;724;15.055793395980073;40.737905009931126
ACERRA                                      ;40;56;58.1;14;22;58.9;29;14.382162100407015;40.94846529724156
ACQUAVIVA D'ISERNIA                         ;41;40;42.5;14;9;8;785;14.151346023325944;41.67749170542639
AGEROLA (Pianillo)                          ;40;37;36.9;14;33;58.4;630;14.565360079535427;40.625915662574855
AGEROLA / AGEROLA (S.Lazzaro)               ;40;38;25.1;14;32;27.9;683;14.540225832311442;40.63929534705525
AGNANO (Terme)                              ;40;49;38.2;14;10;24;65;14.17245496773556;40.82628767327803
AILANO (Cons. Bonifica) /AILANO             ;41;21;58.9;14;11;22.2;117;14.188629464756588;41.365362869707184
ALATRI                                      ;41;43;35;13;20;37.9;458;13.342968248629136;41.72540220007484
ALBANELLA (Contrada Barizzo)                ;40;29;34.3;15;0;44.3;11;15.011456581821738;40.49186137009848
ALBANELLA / ALBANELLA (Paese)               ;40;28;40;15;6;53.5;261;15.114021462694602;40.47678773602188
ALFEDENA (Montagna Spaccata)                ;41;44;3;14;1;54;920;14.030766410711575;41.733191504049906
ALIFE                                       ;41;19;47.4;14;19;44.9;107;14.328261643153724;41.32883633299315
ALTAVILLA IRPINA                            ;41;0;31;14;46;42.9;337;14.77773153248758;41.00763092224062
ALTAVILLA SILENTINA                         ;40;31;48;15;7;45.9;256;15.12857307713848;40.52901532015518
ALVITO                                      ;41;41;29;13;44;56;489;13.747980439355329;41.690413670932735
AMALFI                                      ;40;38;6;14;36;10.9;13;14.602166354754372;40.634012021539355
AMALFI (Ente Provinciale del Turismo)       ;40;38;6.1;14;36;15.9;14;14.603561686317942;40.634016819967755
ANACAPRI (Capri) / ANACAPRI / CAPRI         ;40;32;47.6;14;13;1.1;308;14.216095954086443;40.545553322021306
ANAGNI (Osservatorio)                       ;41;45;16;13;8;33.9;400;13.14185366469119;41.753460493203285
ANAGNI (Consorzio Bonifica)                 ;41;44;6;13;9;10.9;280;13.152129662112948;41.734019207204895
ANAGNI / ANAGNI (Paese)                     ;41;44;37;13;9;40;424;13.160192569532054;41.74262372569168
APICE                                       ;41;7;13;14;55;54.9;208;14.93106504150348;41.119299450438696
APICE UFITA                                 ;41;8;20.6;14;55;37.9;171;14.926338891271682;41.138069127047906
AQUINO                                      ;41;29;36;13;42;5.3;101;13.700589937014144;41.49234683145041
ARCE (Brecciara)                            ;41;35;36;13;32;36;124;13.542420734064189;41.59235560426513
ARIANO DI PUGLIA / ARIANO IRPINO            ;41;9;21.5;15;5;39.8;784;15.093533133429462;41.154989628922436
ARPINO                                      ;41;38;58.8;13;36;38.1;456;13.609695129010174;41.648689367468236
ATINA                                       ;41;37;11;13;47;60;459;13.799095974550198;41.61874185943116
AULETTA                                     ;40;33;9.6;15;25;44.9;204;15.428298740609355;40.551671033816454
AVELLA                                      ;40;57;37;14;36;2.9;198;14.599946347045297;40.95929963132348
AVELLINO                                    ;40;54;58.9;14;47;2.4;351;14.783135260543432;40.91537002128738
AVERSA                                      ;40;58;6.1;14;12;10.9;47;14.202164579492822;40.967349234982784
AVEZZANO                                    ;42;2;40;13;25;15;712;13.419907871129968;42.04345755272529
AVEZZANO (Ente Fucino)                      ;42;2;6;13;25;11;697;13.418800945408274;42.03401283539893
AVIGLIANO                                   ;40;43;50.1;15;43;13.9;875;15.71970692660364;40.72957587450452
BAGNOLI IRPINO                              ;40;48;6;15;6;10.9;1075;15.10218578722631;40.800689722837745
BALSORANO (E. F.)                           ;41;48;58;13;33;17;355;13.553813547825486;41.81512786759653
BALSORANO (Enel)                            ;41;52;26;13;27;26.9;447;13.45657963913278;41.87290877597419
BALVANO                                     ;40;39;6;15;30;55.9;447;15.514696082450566;40.65068479896593
BARONISSI                                   ;40;44;50.9;14;46;15.9;188;14.770228930462569;40.74647313953384
BATTIPAGLIA                                 ;40;36;31.4;14;59;1.7;72;14.982953494101844;40.607723789037905
BATTIPAGLIA (Aversana)                      ;40;33;6;14;55;10.9;1;14.918849002207661;40.5506796840223
BELLA                                       ;40;46;6;15;32;11;693;15.535536447900368;40.767350026761115
BELLOSGUARDO                                ;40;25;27.9;15;18;44.4;551;15.311488986886065;40.423415251820394
BELLOSGUARDO (C.so Garibaldi)               ;40;25;25.9;15;18;39.2;552;15.310060116097176;40.42286954067861
BENEVENTO                                   ;41;7;59.1;14;46;46.5;138;14.778729776228673;41.132088060805465
Benevento - Osservatorio Natur. Monte Pino  ;41;6;30.1;14;44;31.6;180;14.7412497883539;41.10737318034504
BENEVENTO(P.te Cellarulo)                   ;41;8;34.8;14;45;47.7;105;14.76238356998669;41.142009281907995
BISEGNA (E. F.)                             ;41;55;21;13;45;31;1204;13.75770229543109;41.921522133615106
BONITO                                      ;41;5;26;14;59;38;488;14.99302146645837;41.08957542987981
BOVILLE ERNICA                              ;41;38;2.9;13;27;49.9;171;13.462974160364318;41.63315739709519
BRIENZA                                     ;40;28;31;15;37;47;699;15.628874365678502;40.47428627710354
BUCCIANO                                    ;41;4;22.4;14;35;24.1;254;14.589158674489681;41.071908130908795
BUCCINO                                     ;40;38;1.1;15;22;40.9;575;15.37720021105685;40.632630856775464
BUONALBERGO                                 ;41;13;21.5;14;58;24.7;525;14.972666188736488;41.22165560102541
CAIAZZO                                     ;41;10;50.4;14;21;31.9;207;14.357985053918226;41.17967639913
CALABRITTO ( QUAGLIETTA)                    ;40;45;6;15;14;11;221;15.23552805020428;40.75068654512059
CAMPAGNA                                    ;40;40;5.1;15;6;27.9;299;15.106903236261259;40.667070152606556
CAMPOLATTARO                                ;41;17;12;14;43;37.9;525;14.726335614961172;41.285694092565016
CANCELLO /REGI LAGNI / COLLINA CANCELLO     ;40;59;38.1;14;26;3.9;233;14.433559280030844;40.992914244609054
CANCELLO ARNONE                             ;41;4;34.8;14;1;50.5;8;14.02981647030771;41.075339161337595
CANISTRO (Enel)                             ;41;56;38;13;24;45;571;13.411584808307792;41.94290503139407
CANTERNO (Enel)                             ;41;45;19.4;13;15;53.9;531;13.264053190201146;41.75439967059296
CAPACCIO                                    ;40;25;31;15;5;1.9;434;15.083012009625683;40.424291546136644
CAPISTRELLO                                 ;41;58;4;13;23;29.9;744;13.390741444083964;41.96679659207787
CAPO PALINURO (Aero.Militare) /CAPO PALINURO;40;1;34;15;16;52.9;175;15.280512324084873;40.02510957800376
CAPOSELE / (Acquedotto Pugliese)            ;40;49;2.1;15;13;17.9;419;15.220795700223528;40.81624347943014
CAPPADOCIA                                  ;42;0;24;13;16;51;1096;13.27991382642998;42.005680994845015
CAPRI (Aeronautica Militare)                ;40;32;57.7;14;14;27.2;265;14.240025556982303;40.54835277490003
 CAPRI (Semaforo)                                    ;40;32;46.2;14;15;15.6;261;14.253453211954195;40.54517915339238
CAPRIATI AL VOLTURNO                                ;41;28;7.4;14;8;54.1;292;14.147488844630185;41.46774067240082
CAPUA                                               ;41;6;29.1;14;12;52.9;24;14.213825975335112;41.10708024334973
CAPUA P. ANNIBALE                                   ;41;8;6.2;14;16;19.1;22;14.271097733455116;41.13406610497489
CARDITO (Lago Selva Enel)                           ;41;36;23;13;58;21;900;13.971598528253175;41.60540895781182
