nome2;idSensoreTemp;nome;idSensorePrec;latitudine.x;longitudine.x;latitudine.y;longitudine.y;distanzakm
Agerola meteo  1;36423;Agerola meteo 1;36428;40.64669667;14.54059556;40.6466867;14.5405755555556;0.00202153942631875
Agerola meteo  2;36435;Agerola meteo 2;36440;40.64666667;14.54055556;40.64666667;14.54055556;0
Alife;18387;Alife;18385;41.33916667;14.33361111;41.33916667;14.33361111;0
Altavilla irpina;21743;Altavilla irpina;21742;41.00611111;14.78361111;41.00611111;14.78361111;0
Alvignano;17260;Alvignano;17259;41.21805556;14.39444444;41.21805556;14.39444444;0
Ariano irpino;21771;Ariano irpino;21770;41.14833333;15.08527778;41.14833333;15.08527778;0
Ariano irpino meteo  1;36473;Ariano irpino meteo 1;36478;41.19641889;15.13588333;41.1963999;15.1358533333333;0.0032836007186239
Ariano irpino meteo  2;36485;Ariano irpino meteo 2;36490;41.19638889;15.13583333;41.19638889;15.13583333;0
Auletta;12266;Auletta;12267;40.55166667;15.42805556;40.55166667;15.42805556;0
Avellino-genio civile;20890;Avellino-genio civile;20889;40.91194444;14.78333333;40.91194444;14.78333333;0
Bagnoli irpino;18401;Bagnoli irpino;18398;40.82722222;15.07444444;40.82722222;15.07444444;0
Battipaglia;17417;Battipaglia;17411;40.61111111;14.97555556;40.61111111;14.97555556;0
Bella-s.antonio casalini;21726;Bella-s.antonio casalini;21725;40.73361111;15.59333333;40.73361111;15.59333333;0
Benevento;12250;Benevento;12251;41.14194444;14.76222222;41.14194444;14.76222222;0
Benevento meteo  1;36448;Benevento meteo 1;36453;41.11505;14.82508;41.1152;14.8253;0.0248847390122108
Benevento meteo  2;36460;Benevento meteo 2;36465;41.115;14.825;41.115;14.825;0
Boiara;17263;Boiara;17262;40.84138889;15.24277778;40.84138889;15.24277778;0
Boville ernica;12269;Boville ernica;12270;41.65222222;13.4775;41.65222222;13.4775;0
Capaccio;36581;Capaccio;36580;40.46833333;14.96583333;40.46833333;14.96583333;0
Caposele;18411;Caposele;18408;40.81611111;15.22083333;40.81611111;15.22083333;0
Cassano irpino;36577;Cassano irpino;36576;40.88;15.02944444;40.88;15.02944444;0
Castelfranco in miscano;21786;Castelfranco in miscano;21785;41.29944444;15.08805556;41.29944444;15.08805556;0
Castelluccio;12272;Castelluccio;12273;40.58166667;15.33777778;40.58166667;15.33777778;0
Cellole meteo  1;36303;Cellole meteo 1;36309;41.19615111;13.83837333;41.1963111;13.8385333333333;0.0222894744254236
Conza della campania meteo  1;36333;Conza della campania meteo 1;36339;40.86197444;15.28168667;40.8619744;15.2817666666667;0.00673488697986332
Conza della campania meteo  2;36346;Conza della campania meteo 2;36352;40.86194444;15.28166667;40.86194444;15.28166667;0
Costa dei corvi;36912;Costa dei corvi;36911;40.63722222;15.35138889;40.63722222;15.35138889;0
Cusano mutri;20894;Cusano mutri;20893;41.3275;14.52055556;41.3275;14.52055556;0
Ercolano;21761;Ercolano;21760;40.82555556;14.37222222;40.82555556;14.37222222;0
Forli' del sannio;21437;Forli' del sannio;21436;41.69194444;14.18555556;41.69194444;14.18555556;0
Fornelli;21441;Fornelli;21440;41.62305556;14.13305556;41.62305556;14.13305556;0
Gioi cilento;38534;Gioi cilento;38533;40.29111111;15.22611111;40.29111111;15.22611111;0
Grazzanise;12242;Grazzanise;12243;41.0925;14.10527778;41.0925;14.10527778;0
Isernia;21449;Isernia;21448;41.61;14.25194444;41.61;14.25194444;0
