SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation_dem;nomeTemp;idSensoreTemp;nomePrec;idSensorePrec;distanzakm_sensoreTemp_sensorePrec
1;NA;Agerola meteo 1;968563.1082521089;4514320.782430009;733.09136962890625;Agerola meteo  1;36423;Agerola meteo 1;36428;0.00202153942631875
2;NA;Agerola meteo 2;968559.9344675515;4514317.236136099;733.09136962890625;Agerola meteo  2;36435;Agerola meteo 2;36440;0
3;NA;Alife;946340.3394342944;4590152.161383815;133.55645751953125;Alife;18387;Alife;18385;0
4;NA;Altavilla irpina;986481.0877424275;4555575.465485506;402.16485595703125;Altavilla irpina;21743;Altavilla irpina;21742;0
5;NA;Alvignano;952271.1412808858;4577015.146816974;170.3599395751953;Alvignano;17260;Alvignano;17259;0
6;NA;Ariano irpino;1010761.4125641165;4573107.374050961;656.57861328125;Ariano irpino;21771;Ariano irpino;21770;0
7;NA;Ariano irpino meteo 1;1014633.0038654965;4578748.924596643;623.3675537109375;Ariano irpino meteo  1;36473;Ariano irpino meteo 1;36478;0.0032836007186239
8;NA;Ariano irpino meteo 2;1014629.0441181478;4578745.294588728;623.3675537109375;Ariano irpino meteo  2;36485;Ariano irpino meteo 2;36490;0
9;NA;Auletta;1044433.123513815;4508890.250484401;245.95339965820312;Auletta;12266;Auletta;12267;0
10;NA;Avellino-genio civile;987152.2466720754;4545113.109277754;360.8622131347656;Avellino-genio civile;20890;Avellino-genio civile;20889;0
11;NA;Bagnoli irpino;1012341.7701877956;4537369.40225737;893.60308837890625;Bagnoli irpino;18401;Bagnoli irpino;18398;0
12;NA;Battipaglia;1005636.1357249948;4512784.934344349;69.50712585449219;Battipaglia;17417;Battipaglia;17411;0
13;NA;Bella-s.antonio casalini;1056918.8634987497;4530146.085939027;670.7745361328125;Bella-s.antonio casalini;21726;Bella-s.antonio casalini;21725;0
14;NA;Benevento;983680.6776759778;4570545.458888663;117.57022857666016;Benevento;12250;Benevento;12251;0
